0000 graphic
2247 TextOverlay_ScreenOption
20db vector1
20e0 loop1
20eb Option5Texts
2260 TextOverlay_DifficultyOption
20fd OverlayTextScreenylocl
210a OverlayTextScreenyloch
2117 CursorX
2118 CursorY
2119 TextIndex
211a EndOfRowFlag
2175 TextOverlay_VectorLo
2180 TextOverlay_VectorHi
2130 loop1
2174 EndOfText
215d EndOfRow
214f DoSpace
2168 DoTab
216e DoTab2
22e5 TextOverlay_Title
2353 TextOverlay_redefine
21fc TextOverlay_Options
2353 TextOverlay_Stuff
23b4 TextOverlay_HighScoreEntry
218b TextOverlay_Timeout
219b TextOverlay_Gameover
21a9 TextOverlay_LevelIntro1
21c5 TextOverlay_LevelIntro2
21de TextOverlay_LevelIntro3
2285 TextOverlay_GameCompleted
23ae HiscoreEntryText
244b HiscoreLocationsLo
2469 HiscoreLocationsHi
2487 HiscoreHighlight
248a HiscoreCursorX
248b HiscoreCursorY
248f loop1
379b HighScore
249e NoHighscore
24a0 NewHighscore
24a3 loop1
24b4 HiscoreEntry
24b8 loop1
25b1 HighscoreText
37a1 TextCursor
24c3 loop2
25d8 PlotHiscoreHighlight
24c6 loop1
24ca loop3
2607 DeleteHiscoreHighlight
24e2 skip1
251a skip9
24f3 skip2
2502 skip3
2513 skip4
251d EnterCharacter
2526 vector1
2593 Cursor2Character
255c hsDelete
257b hsReturn
2554 skip1
2546 vector2
255b skip1
2567 skip1
257d loop1
258a loop1
25b7 CheatCode1
25e1 vector1
25fc loop1
260b loop1
269a ReservedA
269c ReservedX
269e ReservedY
31dc CharacterAddressLo
31fd CharacterAddressHi
262b loop1
26b9 CharBuffer
266d skip3
265e loop2
37cb nlScreen
269a skip4
266d loop1
268a skip1
26a1 EvenRowFlag
267d skip5
26ad CharMask
2690 skip2
26c7 loop1
2705 EscText
2704 EscTemp
26e8 loop1
26f2 loop1
26f6 loop2
2729 nl_screen
2737 AddBGBuff
2743 DestroyNPC
321e NPCUltimateIndex
277b skip1
321f NPC_Activity
322b NPC_Progress
3237 NPC_ScreenX
3243 NPC_ScreenY
324f NPC_ScreenXOrigin
325b NPC_ScreenYOrigin
3267 NPC_Count
3273 NPC_Special
66b1 ssnpc_Type
2787 skip2
2d2a SpawnRealtimeNPC
27a7 skip1
278c loop1
2847 NPCActivityVectorLo
279e vector1
2856 NPCActivityVectorHi
37b0 npcc_TempX
27a8 PlotSpriteWithMask
37b3 pswm_TempX
37b2 SpriteFrame
51b5 gfxSpriteBMPLo
51d9 gfxSpriteBMPHi
51fd gfxSpriteMSKLo
5221 gfxSpriteMSKHi
5245 gfxSpriteWidth
37b4 pswm_TempW
5269 gfxSpriteHeight
27cb loop2
27cf loop1
27de ProcNormal
27d3 ProcInverse
27e2 ProcContinue
2815 RestoreSpriteBG
2844 rsbg_RestorationOfX
281e RestoreSpriteBG2
28c9 RecalcBGBuff
2830 loop2
2834 loop1
37d9 nlBgbuff
2865 BallRising
28fa BallBounce
2947 BallPause
298f GrubPeep
29da GrubMove
2a71 RainDrop
2da4 EggWasp
2fd6 DragonLeft
301f DragonRight
2b75 BeeBuzz
2c99 Destroy
2ada Spider
2b74 Triffid
2edc ChannelFairy
2f50 ThrownTear
289b RecalcScreen
2bed PlotNPCInCollisionMap
2890 CatapultBall
2c4c RemoveNPCFromCollisionMap
293c BackInLauncher
2966 skip1
2973 BackToRise
29cf OnToGrubMove
3267 NPC_Direction
29a1 GrubPeepLeft
2999 GrubPeepRight
29a6 GrubPeepRent1
29b8 skip1
2d17 FetchCollisionCell
2a33 FallingGrub
2a1f GrubMoveRight
2a0b GrubMoveLeft
2a40 InvertGrubDirection
2a48 GrubContinue
2aba RestartRainDrop
2c6b CheckForBackgroundInCollisionMap
2b16 ChangeDirection
2b23 skip1
2b43 skip2
2b4f skip1
357b XLOC
347b SignedSineTable
338b BitIndex
2c0f FetchCollisionLocAndSizeOfNPC
2bf0 loop2
2bf3 loop1
2c8d NPCCollisionID
2c0a skip1
2c3b Action2CollisionHeight
2c2a Action2CollisionWidth
2c4f loop2
2c52 loop1
2c66 skip1
2c6e loop2
2c71 loop1
2c8c skip2
2c87 skip1
2c9d loop1
2cd5 RemoveExplosion
2cda loop1
327f NPC_SpriteFrame
301c DestroyDragon
2d26 vector1
2d33 SpawnDragon
2d7a SpawnEggWasps
2e1f SpawnFairy
3065 DelayBetweenRRNPC
2d79 skip1
66b2 FetchNewNPCIndex
3a9e GetRandomNumber
2d6f ApproachFromLeft
2d64 ApproachFromRight
2da3 skip1
2dac skip1
2e97 SwarmingWasp
2e08 HatchingEgg
2dfd ProceedToHatching
2e63 ProceedToSwarmingWasp
2e62 skip1
2e32 skip2
2ee2 skip1
2f3b skip1
2fb3 skip4
2f77 skip5
2f84 skip1
2f90 skip2
2fa6 skip3
2fce skip6
69cc RemoveTear
3069 Bitpos
3070 KeyRow
3077 KeyColumn
307e Option_Sound
307f Option_Ingame
3080 Option_Input
3081 Option_Screen
3083 ObjectSFX
308c LowScoreDigitOffset
308f HighScoreDigitOffset
3092 Character_a
309c Character_b
30a6 Character_c
30b0 Character_d
30ba Character_e
30c4 Character_f
30ce Character_g
30d8 Character_h
30e2 Character_i
30ec Character_j
30f6 Character_k
3100 Character_l
310a Character_m
3114 Character_n
311e Character_o
3128 Character_p
3132 Character_q
313c Character_r
3146 Character_s
3150 Character_t
315a Character_u
3164 Character_v
316e Character_w
3178 Character_x
3182 Character_y
318c Character_z
3196 Character_Exclamation
31a0 Character_Question
31aa Character_Dot
31b4 Character_Heart
31be Character_Back
31c8 Character_Return
31d2 Character_Seperator
328b NPC_SpriteFrame4Activity
3297 HeroOffsetsInCollisionMap
329b BitMap
366b prj_X
3673 prj_Y
367b prj_XStep
3683 prj_YStep
368b prj_GFXID
3693 ScorePanelSunMoon
37a2 ObjectSwapped
37a3 SwappedDirection
37a7 MapGrubCount
37ae ThisOneIsToHold
37af csxy_Temp
37b1 pswm_Temp
37b7 BeesPresentHere
37b8 Honeypot_Found
37b9 ThisTrampolenesID
37ba do_X
37bb do_Y
37bc do_BlockID
37bd do_CollisionID
37be ReservedSOBIndex
37bf AddGraphic
37e7 UpdateSunMoon
3802 skip1
383f EndOfBonusLevel
3806 skip2
3847 TimeOut
3806 UpdateSunMoon_Cont
3810 loop2
3820 loop1
384f AddScore
3853 loop1
3862 loop1
3882 DisplayScoreDecimalDigit
387e skip1
38cc vector1
3936 DecimalGraphicRow0
3940 DecimalGraphicRow1
394a DecimalGraphicRow2
3954 DecimalGraphicRow3
395e DecimalGraphicRow4
3968 DecimalGraphicRow5
3972 DecimalGraphicRow6
397c DecimalGraphicRow7
3986 DecimalGraphicRow8
3990 DecimalGraphicRow9
38d3 loop1
3931 HighScoreDigits
38ec skip1
38ee loop1
3a6e skip1
6488 PlotBlock2Screen
3a81 skip1
3a88 EraseDisplayedObject
3acd loop2
3ad1 loop1
3ae5 skip2
3af9 loop2
3afd loop1
3b09 GraphicBlock00
3b21 GraphicBlock01
3b39 GraphicBlock02
3b51 GraphicBlock03
3b69 GraphicBlock04
3b81 GraphicBlock05
3b99 GraphicBlock06
3bb1 GraphicBlock07
3bc9 GraphicBlock08
3be1 GraphicBlock09
3bf9 GraphicBlock0A
3c11 GraphicBlock0B
3c29 GraphicBlock0C
3c41 GraphicBlock0D
3c59 GraphicBlock0E
3c71 GraphicBlock0F
3c89 GraphicBlock10
3ca1 GraphicBlock11
3cb9 GraphicBlock12
3cd1 GraphicBlock13
3ce9 GraphicBlock14
3d01 GraphicBlock15
3d19 GraphicBlock16
3d31 GraphicBlock17
3d49 GraphicBlock18
3d61 GraphicBlock19
3d79 GraphicBlock1A
3d91 GraphicBlock1B
3da9 GraphicBlock1C
3dc1 GraphicBlock1D
3dd9 GraphicBlock1E
3df1 GraphicBlock1F
3e09 GraphicBlock20
3e21 GraphicBlock21
3e39 GraphicBlock22
3e51 GraphicBlock23
3e69 GraphicBlock24
3e81 GraphicBlock25
3e99 GraphicBlock26
3eb1 GraphicBlock27
3ec9 GraphicBlock28
3ee1 GraphicBlock29
3ef9 GraphicBlock2A
3f11 GraphicBlock2B
3f29 GraphicBlock2C
3f41 GraphicBlock2D
3f59 GraphicBlock2E
3f71 GraphicBlock2F
3f89 GraphicBlock30
3fa1 GraphicBlock31
3fb9 GraphicBlock32
3fd1 GraphicBlock33
3fe9 GraphicBlock34
4001 GraphicBlock35
4019 GraphicBlock36
4031 GraphicBlock37
4049 GraphicBlock38
4061 GraphicBlock39
4079 GraphicBlock3A
4091 GraphicBlock3B
40a9 GraphicBlock3C
40c1 GraphicBlock3D
40d9 GraphicBlock3E
40f1 GraphicBlock3F
4109 GraphicBlock40
4121 GraphicBlock41
4139 GraphicBlock42
4151 GraphicBlock43
4169 GraphicBlock44
4181 GraphicBlock45
4199 GraphicBlock46
41b1 GraphicBlock47
41c9 GraphicBlock48
41e1 GraphicBlock49
41f9 GraphicBlock4A
4211 GraphicBlock4B
4229 GraphicBlock4C
4241 GraphicBlock4D
4259 GraphicBlock4E
4271 GraphicBlock4F
4289 GraphicBlock50
42a1 GraphicBlock51
42b9 GraphicBlock52
42d1 GraphicBlock53
42e9 GraphicBlock54
4301 GraphicBlock55
4319 GraphicBlock56
4331 GraphicBlock57
4349 GraphicBlock58
4361 GraphicBlock59
4379 GraphicBlock5A
4391 GraphicBlock5B
43a9 GraphicBlock5C
43c1 GraphicBlock5D
43d9 GraphicBlock5E
43f1 GraphicBlock5F
4409 GraphicBlock60
4421 GraphicBlock61
4439 GraphicBlock62
4451 GraphicBlock63
4469 GraphicBlock64
4481 GraphicBlock65
4499 GraphicBlock66
44b1 GraphicBlock67
44c9 GraphicBlock68
44e1 GraphicBlock69
44f9 GraphicBlock6A
4511 GraphicBlock6B
4529 GraphicBlock6C
4541 GraphicBlock6D
4559 GraphicBlock6E
4571 GraphicBlock6F
4589 GraphicBlock70
45a1 GraphicBlock71
45b9 GraphicBlock72
45d1 GraphicBlock73
45e9 GraphicBlock74
4601 GraphicBlock75
4619 GraphicBlock76
4631 GraphicBlock77
4649 Block2CollisionValue
46c1 Mult240Lo
46d8 Mult240Hi
46ef HeroGraphicStep
46fd HeroBMPGraphicAddressLo
4735 Graphic_HeroRight_BMP00
4795 Graphic_HeroRight_BMP01
47f5 Graphic_HeroRight_BMP02
4855 Graphic_HeroRight_BMP03
48b5 Graphic_HeroRight_BMP04
4915 Graphic_HeroRight_BMP05
5035 Graphic_HeroDeath_BMP00
50f5 Graphic_HeroDeath_BMP01
4d95 Graphic_HeroLeft_BMP05
4d35 Graphic_HeroLeft_BMP04
4cd5 Graphic_HeroLeft_BMP03
4c75 Graphic_HeroLeft_BMP02
4c15 Graphic_HeroLeft_BMP01
4bb5 Graphic_HeroLeft_BMP00
470b HeroBMPGraphicAddressHi
4719 HeroMSKGraphicAddressLo
4975 Graphic_HeroRight_MSK00
49d5 Graphic_HeroRight_MSK01
4a35 Graphic_HeroRight_MSK02
4a95 Graphic_HeroRight_MSK03
4af5 Graphic_HeroRight_MSK04
4b55 Graphic_HeroRight_MSK05
5095 Graphic_HeroDeath_MSK00
5155 Graphic_HeroDeath_MSK01
4fd5 Graphic_HeroLeft_MSK05
4f75 Graphic_HeroLeft_MSK04
4f15 Graphic_HeroLeft_MSK03
4eb5 Graphic_HeroLeft_MSK02
4e55 Graphic_HeroLeft_MSK01
4df5 Graphic_HeroLeft_MSK00
4727 HeroMSKGraphicAddressHi
528d gfx_BallRisingBMP0
52ae gfx_BallRisingBMP1
52cf gfx_BallRisingBMP2
52f0 gfx_BallBounceBMP0
5485 gfx_GrubLeftBMP0
54a3 gfx_GrubLeftBMP1
5395 gfx_GrubRightBMP0
53b3 gfx_GrubRightBMP1
53ef gfx_GrubPeepLeftBMP0
53d1 gfx_GrubPeepRightBMP0
54fd gfx_RaindropBMP0
552d gfx_DragonLeftBMP0
555f gfx_DragonRightBMP0
55f5 gfx_BeeBMPOffset0
560a gfx_BeeBMPOffset1
561f gfx_BeeBMPOffset2
5634 gfx_BeeBMPOffset3
5649 gfx_BeeBMPOffset4
565e gfx_BeeBMPOffset5
578d gfx_ExplosionBMPFrame0
57a5 gfx_ExplosionBMPFrame1
57bd gfx_ExplosionBMPFrame2
57d5 gfx_ExplosionBMPFrame3
57ed gfx_ExplosionBMPFrame4
5805 gfx_ExplosionBMPFrame5
5835 gfx_WaspEggBMP
5861 gfx_WaspHatchBMP
588d gfx_WaspBMP
5706 gfx_ProjectileOrbBMP
56f1 gfx_ProjectileSwordRightBMP
5715 gfx_ProjectileSwordLeftBMP
5763 gfx_ProjectileHeartBMP
5925 gfx_SpiderBMP00
5946 gfx_SpiderBMP01
59a9 gfx_FairyBMP00
59dc gfx_FairyBMP01
5311 gfx_BallRisingMSK0
5332 gfx_BallRisingMSK1
5353 gfx_BallRisingMSK2
5374 gfx_BallBounceMSK0
54c1 gfx_GrubLeftMSK0
54df gfx_GrubLeftMSK1
540d gfx_GrubRightMSK0
542b gfx_GrubRightMSK1
5467 gfx_GrubPeepLeftMSK0
5449 gfx_GrubPeepRightMSK0
5515 gfx_RaindropMSK0
5591 gfx_DragonLeftMSK0
55c3 gfx_DragonRightMSK0
5673 gfx_BeeMSKOffset0
5688 gfx_BeeMSKOffset1
569d gfx_BeeMSKOffset2
56b2 gfx_BeeMSKOffset3
56c7 gfx_BeeMSKOffset4
56dc gfx_BeeMSKOffset5
581d gfx_DefaultMask2x12
58ad gfx_WaspEggMSK
58d9 gfx_WaspHatchMSK
5905 gfx_WaspMSK
573f gfx_ProjectileOrbMSK
572a gfx_ProjectileSwordRightMSK
574e gfx_ProjectileSwordLeftMSK
5778 gfx_ProjectileHeartMSK
5967 gfx_SpiderMSK00
5988 gfx_SpiderMSK01
5a0f gfx_FairyMSK00
5a42 gfx_FairyMSK01
5a75 Stormlord_Map
5a75 stormlord_map
6375 Stormlord_Map_End
637e loop1
73af sfx_Status
738d ay_Volume
63e8 InitialiseScreenSpecificNPC
63b1 loop2
63ba loop1
6429 CheckBlock4NPC
6457 CheckBlock4Object
64ed PlotBlock2BGBuff
651a PlotBlock2CMAP
63ea loop1
6410 NPCScreenSpecificLevelID
6400 skip3
63fc skip1
6417 NPCScreenSpecificMapX
6401 skip2
641d NPCScreenSpecificSetupVectorLo
640d vector1
6423 NPCScreenSpecificSetupVectorHi
66a6 SetupFairies
6692 SetupDragon
669d SetupEggwasp
642d loop1
6445 NPCBlockTrigger
6436 skip1
644b NPCBlockInitialiseVectorLo
6442 vector1
6451 NPCBlockInitialiseVectorHi
6567 SetupSpider
659e SetupBall
65c7 SetupBees
660b OverrideBeeOrigin
6624 SetupRaindrops
6655 SetupGrub
645b loop1
6473 ObjectBlockTrigger
6464 skip1
647a ObjectBlockInitialiseVectorLo
6470 vector1
6481 ObjectBlockInitialiseVectorHi
653b InitDoor
653b InitTrampolene
653b InitKey
653b InitHoneypot
653b InitUmbrella
653b InitShoes
653b InitFairy
64c0 CalcBlockAddress
64ab loop2
64ad loop1
6503 loop2
6505 loop1
6532 loop1
6595 skip1
6596 Mult6
659b vector1
65c6 skip1
660a skip2
65e6 skip1
65eb loop1
6626 loop1
6654 skip1
6691 skip1
66bb skip2
66c2 skip1
66c3 HeroNPCCollisionDetected
6717 HeroControlContinue
66df skip1
6de6 DeathSequence
66ea skip2
6707 loop1
6714 skip1
67fa JumpPhase
678d DealWithJumpMoves
68e2 CheckBelowInCollisionMap
674b skip1
6edb DeleteHero
6729 loop1
6745 skip2
6740 skip4
6759 skip3
68ad JumpUp
6762 skip1
67fb MoveLeft
676b skip1
684a MoveRight
6774 skip1
68c1 HeroFire
678c skip2
6787 skip4
6ff6 SpawnOrb
67f9 JumpStep
67a5 vector1
690d CheckHorizontalsInCollisionMap
67c0 StopJump
67c5 Rising
67c5 skip3
67b8 loop9
67ce skip2
67d7 skip1
67e0 skip1
67f8 skip2
67f3 skip4
6847 skip3
693d CheckLeftInCollisionMap
6846 skip1
6816 skip5
6824 skip2
6833 NoByteMovement
6892 CheckFootDown
69fd ExitLeft
688f skip4
6934 CheckRightInCollisionMap
688e skip1
6865 skip5
6871 skip2
6885 skip3
6a1e ExitRight
68ac skip1
68a7 FootDown
68b8 skip1
68cc skip2
68cb skip1
68d9 skip3
7078 SpawnHeart
68dc skip4
7037 SpawnSword
6909 LastSafeX
6908 skip1
690a ReEntryPointX
690b ReEntryPointMapX
690c ReEntryPointY
6932 skip3
6922 loop1
692b skip1
6933 skip2
6978 ProcessCollision
6941 CheckVerticalsInCollisionMap
696f skip1
6977 skip2
6982 skip1
6989 skip2
6994 skip11
69c8 skip10
699b skip3
69a2 skip8
6a6a ActivateLedgeDestruction
69ad skip9
69c7 skip4
69b4 skip5
6a6b SwapObject
69b9 skip6
6bab FreeFairy
69c0 skip7
6b5e CheckDoor
6c69 HitTrampolene
69f5 skip1
6a1d skip1
6a3f skip1
6a40 CheckRepositionBees
6a69 skip1
6a50 skip2
6a5b vector1
6a6e loop1
6a77 skip1
6ae2 skip2
6a95 skip5
6ac5 skip4
6b43 InitiateBeesJourney
6afb skip3
6c2f RemoveObjectFromList
6b06 loop1
6c67 TempX
6c63 ObjectDeletionYOffset
6c5f ObjectDeletionXOffset
6b32 skip1
6baa skip2
6b6a loop1
6b73 skip1
6c68 Purging_ObjectIndex
6bfc Remove2x2Blocks
6bb0 loop1
6bb9 skip1
6bee skip1
6bfe loop1
6c5b skip1
6c85 skip6
6ca4 skip5
6c87 loop1
6c9d skip4
6c99 skip1
6c9e skip2
6cad skip3
6cb3 loop1
6cce HeroAtTop
6ce9 skip2
6cf1 skip1
6cfe loop1
6d07 skip1
6d18 skip2
6d32 loop2
6d34 loop1
6d60 MovingStarfieldLeft
6d54 MovingStarfieldRight
6d69 skip1
6d9e skip4
6db0 skip2
6dba skip3
6de0 skip1
6e15 skip1
6df3 loop1
6e0c skip2
6e07 skip4
6e5c GameOver
9e41 RestoreHero2SafeZone
6e53 loop1
6e95 loop2
6e97 loop1
6ea6 skip1
6eaa skip2
6ef2 loop2
6ef4 loop1
6f05 CheatCode2
6f55 IRQDriver
6fe6 IRQ_A
6fe8 IRQ_X
6fea IRQ_Y
6f78 loop1
6f9f skip1
6fb7 skip1
6fb4 skip2
9db4 ReadIJK
9d8b ReadPASE
6fcb skip1
6fdf skip1
6fdc PlayMusic
72f1 sfx_ScriptEngine
823f MusicIRQ
6fe5 skip1
6fed ProjectileType_XStep
6ff0 ProjectileType_YStep
6ff3 ProjectileType_GFXID
709e PerformProjectileCommonChecks
7036 skip2
7017 ProjectileLeft
7007 ProjectileRight
7024 skip1
7077 skip2
7058 ProjectileLeft
7043 ProjectileRight
706a skip1
709d skip2
70ad skip1
70ac skip2
70af FetchNewProjectileIndex
70b8 skip2
70be skip1
7106 skip1
70c4 loop1
71fd DeleteProjectile
70d1 skip2
7107 DestroyProjectile
71d3 CheckFireCollision
7100 skip3
7131 HitNPC
7218 PlotProjectile
712d skip1
7196 vector1
7199 MakeFairyShedATear
71c7 NPC_ExplosionsNeeded
716e loop1
71a2 vector2
71c4 skip1
71e8 vector1
71fa skip1
71fb skip2
722a PackedDataAddressLo
7721 Storm1_pac
7b21 Storm2_pac
7ebe Storm3_pac
722d PackedDataAddressHi
724d _file_unpack
7253 unpack_loop
7262 end_reload_mask
725f skip
7286 back_copy
7264 write_byte
726e skip
7272 _UnpackEndLoop
727d skip
72ae copy_loop
72ec vector1
72ee vector2
73dd sfx_PrimaryIndex
73b5 sfx_ScriptAddressLo
73f1 sfx_AddressLo
73c9 sfx_ScriptAddressHi
73f4 sfx_AddressHi
7388 ay_PitchHi
73f7 sfx_Index
73b2 sfx_PlayPeriod
72f3 loop2
7341 skip1
7303 skip2
730d loop3
7317 loop1
73fd sfxValueThreshhold
740e sfxCodeBytes
741f sfxCodeVectorLo
733c vector1
7430 sfxCodeVectorHi
7344 SendAYBank
7346 loop1
7385 ay_Bank
8283 ayVolumeFlag
735e skip2
735c skip3
7393 ayr_Bank
7381 skip1
73a1 ay_RegisterID
7385 ay_PitchLo
738b ay_Noise
738c ay_Status
7390 ay_EGPeriodLo
7391 ay_EGPeriodHi
7392 ay_Cycle
7393 ayr_PitchLo
7396 ayr_PitchHi
7399 ayr_Noise
739a ayr_Status
739b ayr_Volume
739e ayr_EGPeriodLo
739f ayr_EGPeriodHi
73a0 ayr_Cycle
7622 Script_Killed
7631 Script_FireOrb
7639 Script_FireSword
7642 Script_FireHeart
7670 Script_Launcher
7664 Script_CollectKey
7689 Script_RainDrop
767d Script_FreeFairy
769b Script_Trampolene
76b0 Script_Door
76bb Script_Footstep
7692 Script_Spider
76c0 Script_Bees
76c0 Script_Explosion
76c8 Script_GameOver
76e4 Script_LevelComplete
7652 Script_CollectUmbrella
7658 Script_CollectHoney
765e Script_CollectBoots
76f6 Script_Starfield
73fa sfx_Counter
7441 sfxcom_SetChannel
7444 sfxcom_SetChannelFlags
748e sfxcom_SetPitch
74f1 sfxcom_SetVolume
74f7 sfxcom_Play
7509 sfxcom_End_
752e sfxcom_Jump
7545 sfxcom_AdjustVolume
7578 sfxcom_LoopOnVolume
758e sfxcom_LoopOnCounter
759d sfxcom_SetNoise
75a1 sfxcom_SetEnv
75ad sfxcom_TriggerCycle
75be sfxcom_AdjustPitch
760b sfxcom_End
74a0 sfxcom_SetNote
7611 sfxcom_SetCounter
7473 StatusCode
7462 vector2
746c vector1
748b StatusBitMask4Channel
7499 WriteAsPitch
74ab WriteAsNote
74ae loop1
74c2 vector2
74e5 BasePitchHi
74d2 vector1
74d9 BasePitchLo
74cd skip1
74c6 loop2
7502 skip1
7515 skip1
751f skip2
7529 skip3
7559 TwosCompliment32
7552 vector1
758c AbortLoop
7585 PerformLoop
75ba EGWaveCode
75ce skip1
75e1 Negative12BitPitchStep
75f6 Positive12BitPitchStep
75d1 skip2
75da vector1
75e9 vector2
7604 skip3
761d skip1
7634 lblLoop1
763d lblLoop1
7644 lblLoop1
7667 SwapItemRent
766b lblLoop0
7677 lblLoop1
767f lblLoop1
7694 lblLoop1
76a3 lblLoop1
76b6 lblLoop1
76c3 lblLoop1
76d9 lblLoop1
76e6 lblLoop1
7702 lblLoop0
7703 lblLoop1
770d lblLoop2
85ec Stormlord_Music
838a ProcList
8291 ProcMusic
8242 SendAY
8244 loop1
